"rules","support","confidence","lift","count"
"{Acer Desktop,HP Laptop,ViewSonic Monitor} => {iMac}",0.00640569395017794,0.65625,2.56221466851925,63
"{Acer Desktop,ASUS 2 Monitor} => {iMac}",0.00640569395017794,0.642857142857143,2.50992457324335,63
"{ASUS Monitor,ViewSonic Monitor} => {iMac}",0.00823589222165735,0.637795275590551,2.49016138762726,81
"{ASUS Monitor,Dell Desktop} => {iMac}",0.00793085917641078,0.634146341463415,2.47591475517772,78
"{Acer Desktop,HP Laptop,Lenovo Desktop Computer} => {iMac}",0.00630401626842908,0.63265306122449,2.47008450065219,62
"{ASUS Monitor,Lenovo Desktop Computer} => {iMac}",0.00976105744789019,0.631578947368421,2.46589080880048,96
"{ASUS 2 Monitor,Dell Desktop} => {iMac}",0.0090493136756482,0.631205673758865,2.46443342652578,89
"{Acer Desktop,Apple Magic Keyboard} => {iMac}",0.0067107269954245,0.622641509433962,2.43099612754387,66
"{ASUS Monitor,Microsoft Office Home and Student 2016} => {iMac}",0.00599898322318251,0.614583333333333,2.39953437210533,59
"{Belkin Mouse Pad,Microsoft Office Home and Student 2016} => {iMac}",0.00549059481443823,0.613636363636364,2.39583709264138,54
"{Apple MacBook Pro,ASUS Monitor} => {iMac}",0.00538891713268937,0.602272727272727,2.35146973907395,53
"{HP Laptop,HP Monitor,Lenovo Desktop Computer} => {iMac}",0.00538891713268937,0.602272727272727,2.35146973907395,53
"{HP Laptop,Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.00843924758515506,0.601449275362319,2.34825471345312,83
"{Acer Desktop,ASUS Monitor} => {iMac}",0.0057956278596848,0.6,2.34259626836046,57
"{Dell Desktop,Microsoft Office Home and Student 2016} => {iMac}",0.00945602440264362,0.6,2.34259626836046,93
"{Apple Magic Keyboard,HP Laptop,ViewSonic Monitor} => {iMac}",0.00518556176919166,0.593023255813954,2.3153567768679,51
"{ASUS 2 Monitor,Lenovo Desktop Computer} => {iMac}",0.0108795119471276,0.591160220994475,2.308082879508,107
"{Microsoft Office Home and Student 2016,ViewSonic Monitor} => {iMac}",0.00894763599389934,0.590604026845638,2.30591131561209,88
"{Dell Desktop,HP Laptop,Lenovo Desktop Computer} => {iMac}",0.00884595831215048,0.587837837837838,2.29511120886667,87
"{Acer Desktop,Microsoft Office Home and Student 2016} => {iMac}",0.00681240467717336,0.587719298245614,2.29464839152267,67
"{Dell Desktop,Epson Printer} => {iMac}",0.00650737163192679,0.587155963302752,2.29244894763103,64
"{Apple Magic Keyboard,Dell Desktop} => {iMac}",0.0101677681748856,0.584795321637427,2.28323223037082,100
"{ASUS Monitor,HP Laptop} => {iMac}",0.0117946110828673,0.582914572864322,2.27588917194149,116
"{ASUS 2 Monitor,HP Laptop} => {iMac}",0.0110828673106253,0.582887700534759,2.27578425357656,109
"{Acer Aspire,Apple Magic Keyboard} => {iMac}",0.00630401626842908,0.579439252336449,2.2623203837749,62
"{ASUS 2 Monitor,ViewSonic Monitor} => {iMac}",0.0067107269954245,0.578947368421053,2.26039990806711,66
"{Apple Magic Keyboard,Dell Desktop,HP Laptop} => {iMac}",0.00559227249618709,0.578947368421053,2.26039990806711,55
"{Acer Aspire,Dell Desktop,HP Laptop} => {iMac}",0.00640569395017794,0.577981651376147,2.2566294328243,63
"{ASUS 2 Monitor,CYBERPOWER Gamer Desktop} => {iMac}",0.00650737163192679,0.576576576576577,2.25114356118723,64
"{Apple Magic Keyboard,Microsoft Office Home and Student 2016} => {iMac}",0.0057956278596848,0.575757575757576,2.24794591408327,57
"{Acer Aspire,HP Laptop,ViewSonic Monitor} => {iMac}",0.00620233858668022,0.575471698113208,2.2468297542451,61
"{Dell Desktop,HP Laptop,ViewSonic Monitor} => {iMac}",0.00874428063040163,0.573333333333333,2.23848087865555,86
"{Apple Magic Keyboard,Samsung Monitor} => {iMac}",0.00528723945094052,0.571428571428571,2.2310440651052,52
"{Apple Magic Keyboard,ASUS 2 Monitor} => {iMac}",0.00630401626842908,0.568807339449541,2.22080991801756,62
"{ASUS Monitor,Samsung Monitor} => {iMac}",0.00508388408744281,0.568181818181818,2.21836767837165,50
"{Acer Desktop,Dell Desktop,Lenovo Desktop Computer} => {iMac}",0.00518556176919166,0.566666666666667,2.21245203122932,51
"{Dell Laptop,ViewSonic Monitor} => {iMac}",0.00538891713268937,0.557894736842105,2.17820354777376,53
"{Acer Aspire,ASUS Monitor} => {iMac}",0.00508388408744281,0.555555555555556,2.16907061885228,50
"{Dell Desktop,ViewSonic Monitor} => {iMac}",0.0147432638535841,0.555555555555556,2.16907061885228,145
"{Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.0157600406710727,0.555555555555556,2.16907061885228,155
"{HP Laptop,Microsoft Office Home and Student 2016} => {iMac}",0.0129130655821047,0.552173913043478,2.15586758030274,127
"{CYBERPOWER Gamer Desktop,HP Wireless Mouse} => {iMac}",0.00538891713268937,0.552083333333333,2.15551392748445,53
"{HP Wireless Mouse,ViewSonic Monitor} => {iMac}",0.00599898322318251,0.551401869158878,2.15285326843095,59
"{ASUS Chromebook,Dell Desktop} => {iMac}",0.00549059481443823,0.551020408163265,2.15136391992287,54
"{HP Monitor,ViewSonic Monitor} => {iMac}",0.00660904931367565,0.550847457627119,2.15068866445522,65
